id,trait,experience_band,question,answer_text,empathy_score,structure_score,positivity_score,ownership_score,target_score,target_label
1,Collaboration,junior_professional,Tell me about a time you worked with a difficult team situation.,"In my last project, I tried to help but my answer was not very structured. I mentioned shared goal, align and learned that I should communicate earlier. The experience improved my confidence.",54,54,72,55,53,fail
2,Communication,fresher,Describe a time clear communication helped a project.,"During a sprint review, I used a simple STAR structure. I focused on updates, simple language, clarify, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",71,58,46,72,60,fail
3,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"During a sprint review, I used a simple STAR structure. I focused on focus, escalate, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",60,62,45,53,56,fail
4,Communication,industry_veteran,Describe a time clear communication helped a project.,"During a sprint review, I used a simple STAR structure. I focused on summarize, simple language, audience, updates, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",72,89,77,85,84,pass
5,Communication,mid_level_expert,How do you explain complex work to non-technical people?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned simple language, audience and learned that I should communicate earlier. I shared the learning with others.",69,60,55,55,52,fail
6,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I used a simple STAR structure. I focused on plan, focus, escalate, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",82,75,68,90,71,pass
7,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"While handling a delivery, I used a simple STAR structure. I focused on prioritize, escalate, breaks, calm, focus, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",65,83,75,70,78,fail
8,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"In my last project, I tried to help but my answer was not very structured. I mentioned team, shared goal, support, feedback, align and learned that I should communicate earlier. I kept the discussion respectful.",35,14,28,54,32,fail
9,Communication,junior_professional,Describe a time clear communication helped a project.,"In my last project, I clarified the situation, listened to concerns, took ownership of my part, used clarify, questions, summarize, audience, updates, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",85,83,88,82,86,pass
10,Openness to learning,fresher,Describe a time you learned a new tool quickly.,"During a sprint review, I used a simple STAR structure. I focused on feedback, reflection, mentor, course, experiment, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",59,65,41,52,49,fail
11,Openness to learning,senior_professional,Describe a time you learned a new tool quickly.,"In my last project, I used a simple STAR structure. I focused on experiment, course, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",65,50,72,75,60,fail
12,Collaboration,industry_veteran,How do you support teammates during pressure?,"During a team task, I used a simple STAR structure. I focused on align, team, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",50,50,93,51,76,pass
13,Collaboration,fresher,Tell me about a time you worked with a difficult team situation.,"In a university project, I clarified the result, listened to concerns, took ownership of my part, used listen, feedback, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",68,73,75,74,66,fail
14,Communication,fresher,Describe a time clear communication helped a project.,"During a sprint review, I used a simple STAR structure. I focused on simple language, audience, clarify, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",57,56,82,82,73,fail
15,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"During a team task, I used a simple STAR structure. I focused on feedback, mentor, experiment, practice, reflection, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",84,78,70,65,80,pass
16,Communication,fresher,How do you explain complex work to non-technical people?,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used questions, audience, clarify, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",81,84,100,100,90,pass
17,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"During a team task, I clarified the result, listened to concerns, took ownership of my part, used prioritize, calm, breaks, plan, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",99,81,65,92,89,pass
18,Collaboration,mid_level_expert,How do you support teammates during pressure?,"In my last project, I tried to help but my answer was not very structured. I mentioned shared goal, team, support, align and learned that I should communicate earlier. The experience improved my confidence.",48,44,61,35,41,fail
19,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"During a team task, I used a simple STAR structure. I focused on calm, plan, focus, breaks, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",50,64,48,54,52,fail
