id,role,experience_band,years_experience,focus_area,skill_topic,difficulty_level,question_text,question_family,skill_area
Q_00001,Data Scientist,fresher,0.6,technical,DBMS,easy,"For a Data Scientist with fresher experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 1.",conceptual,DBMS
Q_00002,Data Scientist,fresher,0.2,technical,Machine Learning,easy,"For a Data Scientist with fresher experience, ask a easy conceptual question about Machine Learning. Include practical constraints and evaluation points. Question id 2.",conceptual,Machine Learning
Q_00003,Data Scientist,fresher,0.5,technical,Machine Learning,easy,"For a Data Scientist with fresher experience, ask a easy conceptual question about Machine Learning. Include practical constraints and evaluation points. Question id 3.",conceptual,Machine Learning
Q_00004,Data Scientist,fresher,0.6,technical,Machine Learning,easy,"For a Data Scientist with fresher experience, ask a easy optimization question about Machine Learning. Include practical constraints and evaluation points. Question id 4.",optimization,Machine Learning
Q_00005,Data Scientist,fresher,0.3,technical,DBMS,easy,"For a Data Scientist with fresher experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 5.",conceptual,DBMS
Q_00006,Data Scientist,fresher,0.6,technical,DBMS,easy,"For a Data Scientist with fresher experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 6.",conceptual,DBMS
Q_00007,Data Scientist,fresher,0.6,technical,DBMS,easy,"For a Data Scientist with fresher experience, ask a easy debugging question about DBMS. Include practical constraints and evaluation points. Question id 7.",debugging,DBMS
Q_00008,Data Scientist,fresher,0.5,technical,Machine Learning,easy,"For a Data Scientist with fresher experience, ask a easy conceptual question about Machine Learning. Include practical constraints and evaluation points. Question id 8.",conceptual,Machine Learning
Q_00009,Data Scientist,fresher,0.1,technical,DBMS,easy,"For a Data Scientist with fresher experience, ask a easy conceptual question about DBMS. Include practical constraints and evaluation points. Question id 9.",conceptual,DBMS
Q_00010,Data Scientist,fresher,0.3,technical,Artificial Intelligence,medium,"For a Data Scientist with fresher experience, ask a medium scenario question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 10.",scenario,Artificial Intelligence
Q_00011,Data Scientist,fresher,0.4,technical,DBMS,medium,"For a Data Scientist with fresher experience, ask a medium scenario question about DBMS. Include practical constraints and evaluation points. Question id 11.",scenario,DBMS
Q_00012,Data Scientist,fresher,0.2,technical,Machine Learning,medium,"For a Data Scientist with fresher experience, ask a medium scenario question about Machine Learning. Include practical constraints and evaluation points. Question id 12.",scenario,Machine Learning
Q_00013,Data Scientist,fresher,0.0,technical,Machine Learning,medium,"For a Data Scientist with fresher experience, ask a medium scenario question about Machine Learning. Include practical constraints and evaluation points. Question id 13.",scenario,Machine Learning
Q_00014,Data Scientist,fresher,0.0,technical,Artificial Intelligence,medium,"For a Data Scientist with fresher experience, ask a medium scenario question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 14.",scenario,Artificial Intelligence
Q_00015,Data Scientist,fresher,0.8,technical,Artificial Intelligence,medium,"For a Data Scientist with fresher experience, ask a medium scenario question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 15.",scenario,Artificial Intelligence
Q_00016,Data Scientist,fresher,0.4,technical,DBMS,medium,"For a Data Scientist with fresher experience, ask a medium scenario question about DBMS. Include practical constraints and evaluation points. Question id 16.",scenario,DBMS
Q_00017,Data Scientist,fresher,0.5,technical,DBMS,medium,"For a Data Scientist with fresher experience, ask a medium scenario question about DBMS. Include practical constraints and evaluation points. Question id 17.",scenario,DBMS
Q_00018,Data Scientist,fresher,0.9,technical,Machine Learning,medium,"For a Data Scientist with fresher experience, ask a medium scenario question about Machine Learning. Include practical constraints and evaluation points. Question id 18.",scenario,Machine Learning
Q_00019,Data Scientist,fresher,0.3,technical,Artificial Intelligence,hard,"For a Data Scientist with fresher experience, ask a hard architecture question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 19.",architecture,Artificial Intelligence
Q_00020,Data Scientist,fresher,0.0,technical,Artificial Intelligence,hard,"For a Data Scientist with fresher experience, ask a hard scenario question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 20.",scenario,Artificial Intelligence
Q_00021,Data Scientist,fresher,0.5,technical,Machine Learning,hard,"For a Data Scientist with fresher experience, ask a hard architecture question about Machine Learning. Include practical constraints and evaluation points. Question id 21.",architecture,Machine Learning
Q_00022,Data Scientist,fresher,0.9,technical,Artificial Intelligence,hard,"For a Data Scientist with fresher experience, ask a hard architecture question about Artificial Intelligence. Include practical constraints and evaluation points. Question id 22.",architecture,Artificial Intelligence
Q_00023,Data Scientist,fresher,0.4,technical,DBMS,hard,"For a Data Scientist with fresher experience, ask a hard architecture question about DBMS. Include practical constraints and evaluation points. Question id 23.",architecture,DBMS
