question_id,question,role,experience_band,difficulty,focus_area,topic,reference_keywords,reference_points
INT_00001,"As a AI Engineer, describe a situation where miscommunication caused a delay. What did you learn?",AI Engineer,fresher,easy,personality,Behavioral,situation|where|miscommunication|caused|delay|did|you|learn|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to AI Engineer: situation, task, action, result, and what you learned."
INT_00002,"As a AI Engineer, tell me about a time you had to explain a technical idea to someone without a technical background",AI Engineer,fresher,easy,personality,Behavioral,time|you|had|technical|idea|someone|without|background|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|writing|honest,"Use STAR format with a real example relevant to AI Engineer: situation, task, action, result, and what you learned."
INT_00003,Describe feedback from a mentor or teammate that changed how you approach your work as a AI Engineer,AI Engineer,fresher,easy,personality,Behavioral,feedback|from|mentor|teammate|that|changed|you|approach|explain|clarify|listen|audience|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing|honest,"Use STAR format with a real example relevant to AI Engineer: situation, task, action, result, and what you learned."
INT_00004,Describe how you stayed coachable as a AI Engineer when feedback challenged your approach,AI Engineer,fresher,easy,personality,Behavioral,you|stayed|coachable|feedback|challenged|approach|explain|clarify|listen|audience|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing|honest|ethical|transparent,"Use STAR format with a real example relevant to AI Engineer: situation, task, action, result, and what you learned."
INT_00005,Tell me about a time as a AI Engineer when you communicated clearly under pressure on a learning task,AI Engineer,fresher,easy,personality,Behavioral,time|you|communicated|clearly|under|pressure|learning|task|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|non-technical|technical|writing|honest|ethical,"Use STAR format with a real example relevant to AI Engineer: situation, task, action, result, and what you learned."
INT_00006,Tell me about a time as a AI Engineer when you prioritized conflicting urgent tasks on a learning task,AI Engineer,fresher,easy,personality,Behavioral,time|you|prioritized|conflicting|urgent|tasks|learning|task|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to AI Engineer: situation, task, action, result, and what you learned."
INT_00007,Tell me about a time as a AI Engineer when you pushed back on an unrealistic deadline on a learning task,AI Engineer,fresher,easy,personality,Behavioral,time|you|pushed|back|unrealistic|deadline|learning|task|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to AI Engineer: situation, task, action, result, and what you learned."
INT_00008,Tell me about a time as a AI Engineer when you recovered from a mistake that affected users on a learning task,AI Engineer,fresher,easy,personality,Behavioral,time|you|recovered|from|mistake|that|affected|users|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to AI Engineer: situation, task, action, result, and what you learned."
INT_00009,Tell me about a time as a AI Engineer when you resolved a disagreement with a teammate on a learning task,AI Engineer,fresher,easy,personality,Behavioral,time|you|resolved|disagreement|teammate|learning|task|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing|honest,"Use STAR format with a real example relevant to AI Engineer: situation, task, action, result, and what you learned."
INT_00010,Tell me about a time you asked for help early as a AI Engineer instead of staying stuck. What did you learn?,AI Engineer,fresher,easy,personality,Behavioral,time|you|asked|for|help|early|instead|staying|explain|clarify|listen|audience|feedback|message|stakeholder|present|translate|understand|concise|communicated|clearly|non-technical|technical|writing,"Use STAR format with a real example relevant to AI Engineer: situation, task, action, result, and what you learned."
INT_00011,"As a AI Engineer, describe the basic steps of retrieval-augmented generation (RAG) for document Q&A",AI Engineer,fresher,easy,technical,Artificial Intelligence,the|basic|steps|retrieval-augmented|generation|rag|for|document|embedding|retrieval|prompt|llm|inference|hallucination|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative|model,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00012,"As a AI Engineer, explain LLM hallucination evaluation in plain language for a non-technical teammate",AI Engineer,fresher,easy,technical,Artificial Intelligence,llm|hallucination|evaluation|plain|language|for|non-technical|teammate|embedding|retrieval|prompt|inference|rag|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative|model|safety,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00013,"As a AI Engineer, explain PII redaction before inference in plain language for a non-technical teammate",AI Engineer,fresher,easy,technical,Artificial Intelligence,pii|redaction|before|inference|plain|language|for|non-technical|embedding|retrieval|prompt|llm|rag|hallucination|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative|model,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00014,"As a AI Engineer, explain RAG pipeline quality in plain language for a non-technical teammate",AI Engineer,fresher,easy,technical,Artificial Intelligence,rag|pipeline|quality|plain|language|for|non-technical|teammate|embedding|retrieval|prompt|llm|inference|hallucination|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative|model,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00015,"As a AI Engineer, explain embedding refresh pipelines in plain language for a non-technical teammate",AI Engineer,fresher,easy,technical,Artificial Intelligence,embedding|refresh|pipelines|plain|language|for|non-technical|teammate|retrieval|prompt|llm|inference|rag|hallucination|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative|model,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00016,"As a AI Engineer, explain prompt injection mitigation in plain language for a non-technical teammate",AI Engineer,fresher,easy,technical,Artificial Intelligence,prompt|injection|mitigation|plain|language|for|non-technical|teammate|embedding|retrieval|llm|inference|rag|hallucination|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative|model,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00017,"As a AI Engineer, explain what an embedding is and how it is used in semantic search",AI Engineer,fresher,easy,technical,Artificial Intelligence,embedding|and|used|semantic|search|retrieval|prompt|llm|inference|rag|hallucination|guardrail|token|fine-tune|transformer|vector|agent|context window|generative|model|evaluation|safety|latency|injection,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00018,"As a AI Engineer, how do you break an unfamiliar LLM hallucination evaluation task into safe, reviewable steps?",AI Engineer,fresher,easy,technical,Artificial Intelligence,you|break|unfamiliar|llm|hallucination|evaluation|task|into|embedding|retrieval|prompt|inference|rag|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative|model|safety,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00019,"As a AI Engineer, how do you break an unfamiliar PII redaction before inference task into safe, reviewable steps?",AI Engineer,fresher,easy,technical,Artificial Intelligence,you|break|unfamiliar|pii|redaction|before|inference|task|embedding|retrieval|prompt|llm|rag|hallucination|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative|model,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00020,"As a AI Engineer, how do you break an unfamiliar RAG pipeline quality task into safe, reviewable steps?",AI Engineer,fresher,easy,technical,Artificial Intelligence,you|break|unfamiliar|rag|pipeline|quality|task|into|embedding|retrieval|prompt|llm|inference|hallucination|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative|model,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00021,"As a AI Engineer, how do you break an unfamiliar prompt injection mitigation task into safe, reviewable steps?",AI Engineer,fresher,easy,technical,Artificial Intelligence,you|break|unfamiliar|prompt|injection|mitigation|task|into|embedding|retrieval|llm|inference|rag|hallucination|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative|model,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
INT_00022,"As a AI Engineer, what would you check before your first pull request that touches LLM hallucination evaluation?",AI Engineer,fresher,easy,technical,Artificial Intelligence,you|check|before|first|pull|request|that|touches|embedding|retrieval|prompt|llm|inference|rag|hallucination|guardrail|token|fine-tune|transformer|vector|agent|context window|semantic|generative,"Explain the core Artificial Intelligence concepts for a AI Engineer, give a concrete example, and mention trade-offs or edge cases where relevant."
