id,experience_years,experience_band,technical_score,personality_score,communication_score,attentiveness_score,eye_contact_score,filler_ratio,avg_answer_seconds,grammar_score,confidence_score,tab_switches,window_blur_events,screenshot_attempted,device_detected,gaze_off_over_20s,camera_available,mic_available,english_only_violation,final_score,decision
1,13.4,industry_veteran,68,71,63,79,74,0.162,60,55,67,0,0,0,0,0,1,1,0,60,fail
2,8.6,senior_professional,91,79,54,82,94,0.01,81,67,91,0,0,0,0,0,1,1,0,77,pass
3,4.9,mid_level_expert,97,85,100,87,82,0.018,112,92,79,0,0,0,0,0,1,1,0,79,pass
4,2.7,junior_professional,71,57,84,58,70,0.096,90,67,54,0,1,0,0,0,1,1,0,48,fail
5,12.4,industry_veteran,81,89,51,72,65,0.156,36,80,69,0,0,0,0,0,1,1,0,63,fail
6,5.5,mid_level_expert,48,59,60,74,60,0.125,100,70,54,0,0,0,0,0,1,1,0,45,fail
7,0.5,fresher,80,100,82,91,100,0.114,117,100,100,0,0,0,0,0,1,1,0,78,pass
8,3.9,mid_level_expert,89,68,59,64,63,0.221,84,58,41,0,0,0,0,0,1,1,0,57,fail
9,4.0,mid_level_expert,94,100,82,100,81,0.13,116,95,94,0,0,0,0,0,1,1,0,93,pass
10,5.5,mid_level_expert,90,100,100,98,98,0.03,121,92,94,0,0,0,0,0,0,1,0,96,fail
11,0.8,fresher,31,51,59,78,53,0.187,49,65,59,0,0,0,0,1,1,1,0,43,fail
12,2.3,junior_professional,77,58,51,72,59,0.202,77,65,69,1,0,0,0,0,1,1,0,60,fail
13,4.0,mid_level_expert,40,35,74,34,44,0.131,119,57,73,0,0,0,0,0,1,1,0,41,fail
14,10.9,industry_veteran,80,94,77,87,100,0.082,41,87,100,0,0,0,0,0,1,1,0,71,pass
15,11.2,industry_veteran,100,74,82,91,100,0.098,94,85,78,0,0,0,1,1,1,1,0,79,fail
16,14.9,industry_veteran,86,95,75,75,100,0.051,129,94,95,1,0,0,0,0,1,1,0,89,fail
17,5.3,mid_level_expert,90,61,89,97,95,0.053,49,95,88,0,0,0,0,1,1,1,0,77,fail
18,7.1,senior_professional,63,60,87,90,97,0.01,103,83,69,0,0,0,0,0,1,1,0,63,fail
19,7.1,senior_professional,96,100,91,78,79,0.146,55,80,84,0,0,0,0,0,1,1,0,89,pass
20,0.5,fresher,54,59,46,39,80,0.23,38,29,31,0,0,0,0,0,1,1,0,39,fail
21,1.8,junior_professional,73,98,100,76,82,0.104,36,100,78,0,0,0,0,0,0,1,0,88,fail
22,1.0,junior_professional,26,55,63,41,52,0.066,89,72,49,0,0,0,0,0,1,1,0,50,fail
23,1.8,junior_professional,85,78,78,94,83,0.01,130,87,69,1,0,0,0,0,1,1,0,83,fail
