question_id,question,topic,subtopic,difficulty,role,option_a,option_b,option_c,option_d,correct_answer,explanation,expected_time,experience_level
DSA001,What is the time complexity of accessing an element by index in a Python list (dynamic array)?,DSA,Arrays,easy,all,O(n),O(log n),O(1),O(n²),c,"Python lists are backed by a contiguous memory block, so index-based access is O(1) — a direct memory offset calculation, regardless of list size.",22,0-1
DSA002,"An array arr = [4, 2, 7, 1] is given. After one complete pass of Bubble Sort (comparing adjacent pairs left-to-right), what does the array look like?",DSA,Sorting,easy,all,"[1, 2, 4, 7]","[2, 4, 1, 7]","[2, 4, 7, 1]","[4, 2, 1, 7]",b,"Pass 1: (4,2)→swap→[2,4,7,1]; (4,7)→no swap; (7,1)→swap→[2,4,1,7]. The largest element (7) bubbles to the end.",28,0-1
DSA003,Which data structure follows the principle Last-In-First-Out (LIFO) and is used internally by most recursive call chains?,DSA,Stack,easy,all,Queue,Deque,Stack,Priority Queue,c,A Stack is LIFO — the last element pushed is the first popped. The system call stack for recursion works exactly this way.,20,0-1
DSA004,"Consider a queue with operations: enqueue(5), enqueue(3), dequeue(), enqueue(8), dequeue(). What is the final front element of the queue?",DSA,Queue,easy,all,5,3,8,Queue is empty,c,"After enqueue(5): [5]. enqueue(3): [5,3]. dequeue() removes 5: [3]. enqueue(8): [3,8]. dequeue() removes 3: [8]. Front is 8.",28,0-1
DSA005,What is the worst-case time complexity of Linear Search on an array of n elements?,DSA,Searching,easy,all,O(1),O(log n),O(n log n),O(n),d,"In the worst case the target is the last element or absent, so all n elements are checked — O(n).",20,0-1
DSA006,"A stack currently holds (bottom→top): [1, 3, 5]. After push(7) and then pop(), what is the top element?",DSA,Stack,easy,all,7,5,3,1,b,"push(7) → [1,3,5,7]. pop() removes 7 → [1,3,5]. Top is now 5.",22,0-1
DSA007,"In Python, what does s = 'hello'; s[0] = 'H' do?",DSA,Strings,easy,all,s becomes 'Hello',s becomes 'hello',Raises a TypeError because strings are immutable,Raises an IndexError,c,Python strings are immutable objects. Attempting to assign to an index raises TypeError: 'str' object does not support item assignment.,22,0-1
DSA008,Which sorting algorithm has the best average-case time complexity?,DSA,Sorting,easy,all,Bubble Sort — O(n²),Selection Sort — O(n²),Merge Sort — O(n log n),Insertion Sort — O(n²),c,"Merge Sort guarantees O(n log n) in all cases (best, average, worst) via divide-and-conquer, making it superior to quadratic sorts.",22,0-1
DSA009,What is the prerequisite for Binary Search to work correctly on a list?,DSA,Searching,easy,all,The list must have an even number of elements,The list must be sorted,The list must contain only integers,The list must be stored in a hash map,b,Binary Search relies on comparing the mid element and discarding half the search space each step — this only works if the list is sorted.,20,0-1
DSA010,"What is the space complexity of an iterative algorithm that uses only a fixed number of variables, regardless of input size n?",DSA,Time Complexity,easy,all,O(n),O(log n),O(n²),O(1),d,Using a constant number of extra variables irrespective of input size is O(1) auxiliary space — also called in-place.,20,0-1
DSA011,"Given arr = [10, 20, 30, 40, 50], what does arr[1:4] return in Python?",DSA,Arrays,easy,all,"[10, 20, 30]","[20, 30, 40]","[20, 30, 40, 50]","[10, 20, 30, 40]",b,"Python slicing arr[start:stop] is inclusive of start and exclusive of stop. arr[1:4] gives indices 1, 2, 3 → [20, 30, 40].",24,0-1
DSA012,Which of the following correctly describes a Circular Queue compared to a simple Queue?,DSA,Queue,easy,all,It allows LIFO operations,It reuses the freed front slots by wrapping rear to index 0,It has unlimited capacity without overflow,It stores elements in sorted order,b,"A Circular Queue wraps the rear pointer back to index 0 when it reaches the end, reusing empty slots left by dequeued elements — solving the 'false overflow' problem of a linear queue.",26,0-1
DSA013,"How many times does the inner loop body execute?

for i in range(n):
    for j in range(i):
        print('*')",DSA,Time Complexity,easy,all,n²,n(n-1)/2,n log n,n,b,"When i=0 → 0 iterations; i=1 → 1; ... i=n-1 → n-1. Total = 0+1+2+…+(n-1) = n(n-1)/2, which is O(n²).",28,0-1
DSA014,"What is the output of the following?

s = 'abcde'
print(s[::-1])",DSA,Strings,easy,all,abcde,edcba,abced,Error,b,"s[::-1] creates a reversed copy of the string using step -1, yielding 'edcba'.",22,0-1
DSA015,"In Selection Sort, what happens during each pass of the outer loop?",DSA,Sorting,easy,all,Adjacent elements are swapped if out of order,The minimum element from the unsorted portion is placed at its correct position,Elements are merged into sorted halves,A pivot element is placed at its final position,b,Selection Sort finds the minimum in the unsorted sub-array and swaps it with the first unsorted element — extending the sorted prefix by one each pass.,24,0-1
DSA016,"What will be the output?

stack = []
stack.append(1)
stack.append(2)
stack.append(3)
stack.pop()
print(stack[-1])",DSA,Stack,easy,all,1,3,2,IndexError,c,"After appending 1, 2, 3 → stack=[1,2,3]. pop() removes 3 → [1,2]. stack[-1] is the last element, which is 2.",24,0-1
DSA017,Which of the following is TRUE about Binary Search time complexity?,DSA,Searching,easy,all,"Worst case O(n), best case O(1)","Worst case O(log n), best case O(1)","Worst case O(n log n), best case O(log n)",Worst and best case both O(log n),b,Binary Search halves the search space each step → O(log n) worst case. Best case is O(1) when the target equals the first mid element checked.,22,0-1
DSA018,"What does the following code check?

def check(s):
    st = []
    for c in s:
        if c == '(': st.append(c)
        elif c == ')' and st: st.pop()
        elif c == ')': return False
    return len(st) == 0

print(check('(())'))",DSA,Stack,easy,all,False,True,Error,,b,The function checks balanced parentheses using a stack. '(())' is balanced — every '(' has a matching ')'. Stack is empty at end → True.,28,0-1
DSA019,"If an algorithm's runtime doubles every time n increases by 1, what is its time complexity?",DSA,Time Complexity,easy,all,O(n),O(n²),O(2ⁿ),O(log n),c,"When runtime doubles for each unit increase in n, the growth is exponential: T(n) = 2^n — classic signature of brute-force recursive algorithms.",25,0-1
DSA020,"arr = [3, 1, 4, 1, 5, 9, 2, 6]. What is the output of sorted(arr)[len(arr)//2]?",DSA,Arrays,easy,all,4,5,3,2,a,"sorted(arr) = [1, 1, 2, 3, 4, 5, 6, 9]. len(arr) = 8, len(arr)//2 = 4. Index 4 of [1,1,2,3,4,5,6,9] → value 4.",28,0-1
DSA021,"What is the output of the following recursive function?

def f(n):
    if n <= 1: return n
    return f(n-1) + f(n-2)

print(f(6))",DSA,Recursion,medium,all,6,8,13,21,b,"This is Fibonacci. f(0)=0,f(1)=1,f(2)=1,f(3)=2,f(4)=3,f(5)=5,f(6)=8.",35,2-3
DSA022,"In a singly linked list with n nodes, what is the time complexity of deleting the k-th node from the END (without knowing n)?",DSA,Linked List,medium,all,O(1),O(k),O(n),O(n log n),c,"The two-pointer approach uses a fast pointer k steps ahead, then both advance together. Fast pointer traverses the entire list once → O(n).",38,2-3
DSA023,"Binary search on a sorted array runs the following. What is target=7's return value?

arr = [1, 3, 5, 7, 9, 11], lo=0, hi=5
Iteration 1: mid = (0+5)//2 = 2, arr[2]=5 < 7 → lo=3
Iteration 2: mid = (3+5)//2 = 4, arr[4]=9 > 7 → hi=3
Iteration 3: mid = (3+3)//2 = 3, arr[3]=7 == 7 → return mid",DSA,Binary Search,medium,all,2,4,3,-1,c,"Tracing the algorithm step-by-step, after 3 iterations the mid pointer lands at index 3 where arr[3]=7. The function returns index 3.",40,2-3
DSA024,"A hash map uses chaining for collision resolution. If load factor α = n/m (n=keys, m=buckets), what is the expected time for a successful search?",DSA,Hashing,medium,all,O(1) always regardless of α,O(α) = O(n/m),O(m),O(n²),b,"With chaining, each bucket holds α keys on average. A successful search traverses roughly α/2 + 1 nodes → O(1 + α). When α ≈ 1, this is O(1) amortized.",38,2-3
DSA025,"What is the output of this in-order traversal code for the tree where root=4, left=2, right=6, left.left=1, left.right=3?

def inorder(node):
    if not node: return
    inorder(node.left)
    print(node.val, end=' ')
    inorder(node.right)",DSA,Trees,medium,all,4 2 6 1 3,1 2 3 4 6,4 2 1 3 6,1 3 2 6 4,b,"In-order is Left→Root→Right. Traversal: go left to 1 (print 1), back to 2 (print 2), right to 3 (print 3), back to 4 (print 4), right to 6 (print 6) → '1 2 3 4 6'.",40,2-3
DSA026,"During Merge Sort on [38, 27, 43, 3], after the split and merge steps, which of the following represents the state AFTER merging the two sorted halves [27, 38] and [3, 43]?",DSA,Sorting Algorithms,medium,all,"[3, 27, 38, 43]","[27, 3, 38, 43]","[3, 43, 27, 38]","[27, 38, 3, 43]",a,"Merge step compares heads: 27 vs 3 → take 3; 27 vs 43 → take 27; 38 vs 43 → take 38; append 43. Result: [3, 27, 38, 43].",42,2-3
DSA027,"Floyd's Cycle Detection uses two pointers (slow and fast). If a linked list has no cycle, what happens to the fast pointer?",DSA,Linked List,medium,all,It stops at the middle node,It reaches None (end of list),It laps slow and returns to head,It raises a RecursionError,b,"Fast moves 2 steps at a time. With no cycle it hits the end (None) in O(n/2) steps, confirming no cycle exists.",35,2-3
DSA028,"What does this recursive function compute? Trace for n=4.

def mystery(n):
    if n == 0: return 0
    return n + mystery(n - 1)",DSA,Recursion,medium,all,n! (factorial),2ⁿ,Sum of 1 to n → n(n+1)/2,n² - n,c,mystery(4) = 4 + mystery(3) = 4+3+2+1+0 = 10 = 4*5/2. The function computes the sum of all integers from 1 to n.,35,2-3
DSA029,"A BST contains: insert 10, 5, 15, 3, 7. What is returned by an in-order traversal?",DSA,Trees,medium,all,10 5 15 3 7,3 5 7 10 15,3 7 5 15 10,5 3 7 10 15,b,"In-order traversal of a BST always produces elements in ascending sorted order: 3, 5, 7, 10, 15.",32,2-3
