id,skill_area,experience_band,question,answer_text,word_count,keyword_hits,clarity_score,relevance_score,correctness_score,target_score,target_label
1,Operating Systems,fresher,"How would you handle a Operating Systems problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include memory management, paging, mutex. I would validate this with tests.",24,3,53,45,56,58,fail
2,MERN Stack,fresher,"How would you handle a MERN Stack problem during a production incident? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include mongo, state management, express, react. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would communicate the risk clearly.",48,4,75,75,100,80,pass
3,Django,mid_level_expert,"How would you handle a Django problem during a production incident? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. I would validate this with tests.,24,2,36,49,35,34,fail
4,Artificial Intelligence,industry_veteran,"How would you handle a Artificial Intelligence problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include prompt engineering, retrieval, hallucination, reasoning. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",46,4,78,50,51,56,fail
5,React,industry_veteran,"How would you handle a React problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include rendering, context, memoization. I would validate this with tests.",29,3,37,53,36,33,fail
6,Artificial Intelligence,fresher,"How would you handle a Artificial Intelligence problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include vector search, evaluation, latency, prompt engineering. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would validate this with tests.",48,4,92,71,75,56,fail
7,Operating Systems,junior_professional,"How would you handle a Operating Systems problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include thread, memory management, paging, filesystem, scheduling. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",61,5,85,93,75,82,pass
8,DSA,industry_veteran,"How would you handle a DSA problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include graphs, heap, hash map, complexity, bfs. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",61,5,81,84,80,99,pass
9,MERN Stack,mid_level_expert,"How would you handle a MERN Stack problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include react, express, api integration, node. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",46,4,66,53,78,53,fail
10,Machine Learning,senior_professional,"How would you handle a Machine Learning problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include bias, serving, drift, overfitting. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",40,4,71,43,50,58,fail
